location,crowd_count,temperature,hour
Shri Bade Hanuman Temple,2631,42,4
Shri Bade Hanuman Temple,7222,34,23
Kumbh Mela Ground (Main Venue),10166,21,9
Alopankari Temple Area,5725,10,17
Shri Bade Hanuman Temple,7755,26,15
Prayagraj Junction,3876,38,17
Dashashwamedh Ghat (Prayagraj),500,45,23
Saraswati Ghat,3366,18,10
Triveni Sangam (Confluence Zone),5191,40,3
Shri Bade Hanuman Temple,7092,25,14
Kumbh Mela Ground (Main Venue),7331,38,9
Prayagraj Junction,2136,45,17
Triveni Sangam (Confluence Zone),7449,27,23
Saraswati Ghat,2963,15,4
Shri Bade Hanuman Temple,5080,17,22
Triveni Sangam (Confluence Zone),10954,19,10
Shri Bade Hanuman Temple,8365,16,18
Prayagraj Junction,5943,17,16
Shri Bade Hanuman Temple,1159,37,5
Alopankari Temple Area,3378,34,18
Kumbh Mela Ground (Main Venue),11422,16,13
Kumbh Mela Ground (Main Venue),8219,27,6
Prayagraj Junction,6132,37,16
Shri Bade Hanuman Temple,9906,24,7
Prayagraj Junction,4108,29,15
Alopankari Temple Area,4883,38,6
Saraswati Ghat,5780,18,9
Triveni Sangam (Confluence Zone),15415,40,16
Dashashwamedh Ghat (Prayagraj),3831,42,10
Kumbh Mela Ground (Main Venue),9925,23,15
Alopankari Temple Area,6753,22,11
Saraswati Ghat,4703,21,16
Alopankari Temple Area,500,45,2
Kumbh Mela Ground (Main Venue),5657,14,22
Shri Bade Hanuman Temple,7632,17,17
Shri Bade Hanuman Temple,5931,16,7
Triveni Sangam (Confluence Zone),7474,25,1
Dashashwamedh Ghat (Prayagraj),2213,39,0
Prayagraj Junction,2614,27,10
Dashashwamedh Ghat (Prayagraj),4840,41,9
Saraswati Ghat,4006,21,7
Prayagraj Junction,5115,20,15
Shri Bade Hanuman Temple,8624,35,9
Alopankari Temple Area,4546,39,15
Prayagraj Junction,7164,42,13
Triveni Sangam (Confluence Zone),8551,16,17
Kumbh Mela Ground (Main Venue),3861,28,22
Shri Bade Hanuman Temple,7265,28,22
Dashashwamedh Ghat (Prayagraj),6451,13,19
Triveni Sangam (Confluence Zone),12014,18,5
Dashashwamedh Ghat (Prayagraj),1199,38,18
Dashashwamedh Ghat (Prayagraj),2976,29,2
Saraswati Ghat,5632,30,19
Triveni Sangam (Confluence Zone),13459,44,17
Shri Bade Hanuman Temple,5410,32,4
Kumbh Mela Ground (Main Venue),4495,11,2
Saraswati Ghat,4216,22,1
Prayagraj Junction,2584,28,9
Kumbh Mela Ground (Main Venue),9698,40,21
Dashashwamedh Ghat (Prayagraj),3933,29,21
Dashashwamedh Ghat (Prayagraj),2474,18,9
Saraswati Ghat,6984,12,11
Kumbh Mela Ground (Main Venue),10674,21,14
Saraswati Ghat,6786,12,19
Prayagraj Junction,5043,36,15
Prayagraj Junction,5986,10,19
Prayagraj Junction,5217,39,13
Shri Bade Hanuman Temple,4931,43,8
Kumbh Mela Ground (Main Venue),9112,40,9
Shri Bade Hanuman Temple,4568,37,18
Kumbh Mela Ground (Main Venue),4484,38,2
Saraswati Ghat,6283,19,19
Shri Bade Hanuman Temple,8265,39,7
Alopankari Temple Area,1273,16,4
Prayagraj Junction,6710,10,8
Alopankari Temple Area,1640,39,17
Triveni Sangam (Confluence Zone),14888,42,14
Prayagraj Junction,4291,22,14
Shri Bade Hanuman Temple,6159,43,16
Saraswati Ghat,2200,42,8
Shri Bade Hanuman Temple,8794,28,10
Kumbh Mela Ground (Main Venue),5038,44,19
Dashashwamedh Ghat (Prayagraj),6755,30,9
Saraswati Ghat,4831,13,20
Saraswati Ghat,7610,20,12
Alopankari Temple Area,2572,38,6
Triveni Sangam (Confluence Zone),13114,30,9
Shri Bade Hanuman Temple,6246,32,2
Triveni Sangam (Confluence Zone),13589,34,14
Dashashwamedh Ghat (Prayagraj),1087,20,4
Triveni Sangam (Confluence Zone),10676,19,19
Kumbh Mela Ground (Main Venue),7247,32,1
Alopankari Temple Area,3406,38,8
Saraswati Ghat,4140,30,3
Alopankari Temple Area,4504,25,9
Saraswati Ghat,5108,40,11
Kumbh Mela Ground (Main Venue),6582,34,22
Triveni Sangam (Confluence Zone),13128,31,19
Saraswati Ghat,500,32,1
Triveni Sangam (Confluence Zone),9213,40,20
Saraswati Ghat,3069,22,6
Saraswati Ghat,2002,33,22
Alopankari Temple Area,5733,30,13
Triveni Sangam (Confluence Zone),12032,37,7
Dashashwamedh Ghat (Prayagraj),3696,34,7
Dashashwamedh Ghat (Prayagraj),500,28,3
Saraswati Ghat,4220,33,11
Triveni Sangam (Confluence Zone),9312,23,22
Shri Bade Hanuman Temple,6324,40,8
Saraswati Ghat,500,29,22
Alopankari Temple Area,8617,31,16
Dashashwamedh Ghat (Prayagraj),2718,10,1
Kumbh Mela Ground (Main Venue),4439,36,4
Kumbh Mela Ground (Main Venue),8225,19,15
Triveni Sangam (Confluence Zone),8221,35,21
Saraswati Ghat,3752,18,18
Triveni Sangam (Confluence Zone),7500,45,10
Shri Bade Hanuman Temple,7469,19,21
Saraswati Ghat,4457,35,14
Kumbh Mela Ground (Main Venue),8669,10,5
Saraswati Ghat,717,44,18
Dashashwamedh Ghat (Prayagraj),2106,22,0
Kumbh Mela Ground (Main Venue),9298,31,19
Triveni Sangam (Confluence Zone),11861,34,19
Triveni Sangam (Confluence Zone),5409,37,22
Kumbh Mela Ground (Main Venue),4212,15,0
Triveni Sangam (Confluence Zone),8131,17,22
Shri Bade Hanuman Temple,11445,21,14
Saraswati Ghat,5889,39,16
Saraswati Ghat,2164,39,20
Prayagraj Junction,1321,40,5
Saraswati Ghat,5287,32,14
Kumbh Mela Ground (Main Venue),9104,18,12
Triveni Sangam (Confluence Zone),12071,20,20
Shri Bade Hanuman Temple,1055,45,3
Dashashwamedh Ghat (Prayagraj),5519,40,16
Saraswati Ghat,5967,30,11
Shri Bade Hanuman Temple,8330,37,18
Kumbh Mela Ground (Main Venue),11836,15,6
Kumbh Mela Ground (Main Venue),8427,20,4
Kumbh Mela Ground (Main Venue),9242,11,3
Saraswati Ghat,655,38,21
Triveni Sangam (Confluence Zone),5921,13,1
Saraswati Ghat,3675,25,6
Saraswati Ghat,6177,41,12
Dashashwamedh Ghat (Prayagraj),3141,27,21
Prayagraj Junction,3297,31,2
Prayagraj Junction,2873,23,6
Dashashwamedh Ghat (Prayagraj),664,11,1
Saraswati Ghat,7705,32,16
Prayagraj Junction,2497,14,3
Prayagraj Junction,3556,21,18
Prayagraj Junction,4614,26,19
Alopankari Temple Area,5486,31,8
Kumbh Mela Ground (Main Venue),11424,33,12
Dashashwamedh Ghat (Prayagraj),5323,24,16
Kumbh Mela Ground (Main Venue),4006,15,23
Shri Bade Hanuman Temple,7091,17,8
Kumbh Mela Ground (Main Venue),4288,19,2
Triveni Sangam (Confluence Zone),11581,28,7
Kumbh Mela Ground (Main Venue),7945,38,2
Shri Bade Hanuman Temple,7566,35,18
Saraswati Ghat,4547,31,15
Dashashwamedh Ghat (Prayagraj),1394,43,1
Dashashwamedh Ghat (Prayagraj),6300,15,13
Prayagraj Junction,3926,23,7
Triveni Sangam (Confluence Zone),5571,20,2
Kumbh Mela Ground (Main Venue),12466,22,15
Prayagraj Junction,4746,45,15
Shri Bade Hanuman Temple,10000,26,14
Shri Bade Hanuman Temple,7676,41,20
Saraswati Ghat,6391,29,20
Saraswati Ghat,3834,40,17
Saraswati Ghat,2716,16,18
Alopankari Temple Area,4857,25,7
Saraswati Ghat,500,41,5
Alopankari Temple Area,1571,39,23
Alopankari Temple Area,4089,20,6
Triveni Sangam (Confluence Zone),8371,25,19
Saraswati Ghat,2139,33,11
Alopankari Temple Area,4445,12,20
Kumbh Mela Ground (Main Venue),7096,22,0
Dashashwamedh Ghat (Prayagraj),3739,34,11
Prayagraj Junction,7347,18,15
Dashashwamedh Ghat (Prayagraj),2263,27,1
Kumbh Mela Ground (Main Venue),10169,10,20
Prayagraj Junction,4137,27,0
Triveni Sangam (Confluence Zone),8945,26,4
Triveni Sangam (Confluence Zone),11268,15,6
Alopankari Temple Area,815,39,1
Triveni Sangam (Confluence Zone),7940,39,11
Saraswati Ghat,500,30,22
Kumbh Mela Ground (Main Venue),9535,26,17
Saraswati Ghat,5140,20,19
Dashashwamedh Ghat (Prayagraj),6732,35,11
Kumbh Mela Ground (Main Venue),7560,38,6
Triveni Sangam (Confluence Zone),13933,21,12
Shri Bade Hanuman Temple,6393,13,3
Prayagraj Junction,3372,17,17
Shri Bade Hanuman Temple,8535,33,6
Alopankari Temple Area,4080,16,3
Alopankari Temple Area,500,45,1
Alopankari Temple Area,3202,17,23
Prayagraj Junction,3500,25,21
Dashashwamedh Ghat (Prayagraj),7361,20,14
Saraswati Ghat,7918,16,16
Shri Bade Hanuman Temple,4149,28,3
Dashashwamedh Ghat (Prayagraj),3507,42,18
Saraswati Ghat,5282,30,6
Dashashwamedh Ghat (Prayagraj),7371,37,15
Prayagraj Junction,1105,43,23
Triveni Sangam (Confluence Zone),8514,30,1
Shri Bade Hanuman Temple,9646,22,15
Alopankari Temple Area,2038,40,19
Prayagraj Junction,4058,13,14
Dashashwamedh Ghat (Prayagraj),500,42,4
Triveni Sangam (Confluence Zone),9478,19,21
Triveni Sangam (Confluence Zone),10265,43,19
Dashashwamedh Ghat (Prayagraj),4177,38,17
Shri Bade Hanuman Temple,7666,38,15
Dashashwamedh Ghat (Prayagraj),500,32,4
Triveni Sangam (Confluence Zone),10088,21,10
Prayagraj Junction,2506,30,22
Dashashwamedh Ghat (Prayagraj),5500,28,17
Shri Bade Hanuman Temple,6923,22,22
Saraswati Ghat,4983,20,9
Prayagraj Junction,2845,23,20
Shri Bade Hanuman Temple,9031,44,13
Dashashwamedh Ghat (Prayagraj),5819,21,17
Triveni Sangam (Confluence Zone),10001,41,12
Dashashwamedh Ghat (Prayagraj),2231,11,23
Alopankari Temple Area,4025,37,14
Triveni Sangam (Confluence Zone),13508,25,8
Dashashwamedh Ghat (Prayagraj),2073,10,17
Alopankari Temple Area,7280,42,13
Prayagraj Junction,6422,17,18
Kumbh Mela Ground (Main Venue),8240,11,19
Kumbh Mela Ground (Main Venue),7814,14,2
Kumbh Mela Ground (Main Venue),11960,31,15
Kumbh Mela Ground (Main Venue),7581,33,22
Shri Bade Hanuman Temple,9975,22,12
Shri Bade Hanuman Temple,9417,12,20
Dashashwamedh Ghat (Prayagraj),1003,17,0
Saraswati Ghat,4051,21,19
Kumbh Mela Ground (Main Venue),10360,22,7
Kumbh Mela Ground (Main Venue),8420,23,19
Alopankari Temple Area,2472,23,0
Saraswati Ghat,7710,17,13
Triveni Sangam (Confluence Zone),6013,43,23
Dashashwamedh Ghat (Prayagraj),1758,38,0
Saraswati Ghat,4449,24,8
Shri Bade Hanuman Temple,4333,29,23
Kumbh Mela Ground (Main Venue),6798,14,0
Saraswati Ghat,2305,36,11
Shri Bade Hanuman Temple,3341,30,23
Alopankari Temple Area,3224,34,7
Prayagraj Junction,3072,15,0
Saraswati Ghat,5397,45,7
Prayagraj Junction,1992,31,2
Saraswati Ghat,6864,23,20
Alopankari Temple Area,2287,35,0
Saraswati Ghat,4036,26,1
Alopankari Temple Area,2969,25,1
Saraswati Ghat,8371,22,16
Triveni Sangam (Confluence Zone),8547,45,22
Triveni Sangam (Confluence Zone),8686,16,8
Kumbh Mela Ground (Main Venue),10038,30,10
Shri Bade Hanuman Temple,8894,11,11
Dashashwamedh Ghat (Prayagraj),8796,10,14
Kumbh Mela Ground (Main Venue),7305,43,3
Triveni Sangam (Confluence Zone),8961,23,1
Alopankari Temple Area,4885,41,6
Saraswati Ghat,6858,29,10
Alopankari Temple Area,4722,26,13
Dashashwamedh Ghat (Prayagraj),7520,34,16
Prayagraj Junction,4177,15,23
Prayagraj Junction,4910,16,12
Triveni Sangam (Confluence Zone),14233,32,11
Saraswati Ghat,5297,39,13
Kumbh Mela Ground (Main Venue),8304,13,19
Prayagraj Junction,2930,24,19
Prayagraj Junction,2518,39,7
Saraswati Ghat,4765,37,11
Shri Bade Hanuman Temple,3929,14,23
Dashashwamedh Ghat (Prayagraj),5747,20,17
Prayagraj Junction,4068,21,17
Prayagraj Junction,6734,11,16
Triveni Sangam (Confluence Zone),9804,28,19
Triveni Sangam (Confluence Zone),11139,19,17
Saraswati Ghat,500,36,3
Shri Bade Hanuman Temple,9548,21,12
Triveni Sangam (Confluence Zone),13430,18,16
Saraswati Ghat,3980,23,21
Triveni Sangam (Confluence Zone),12937,10,15
Saraswati Ghat,3813,19,23
Shri Bade Hanuman Temple,9036,45,15
Prayagraj Junction,1840,42,8
Alopankari Temple Area,6788,14,9
Shri Bade Hanuman Temple,10774,22,14
Dashashwamedh Ghat (Prayagraj),7212,29,14
Saraswati Ghat,500,39,22
Prayagraj Junction,2171,11,8
Shri Bade Hanuman Temple,2529,14,3
Alopankari Temple Area,3062,27,21
Shri Bade Hanuman Temple,8101,12,15
Prayagraj Junction,3644,41,18
Dashashwamedh Ghat (Prayagraj),500,16,23
Shri Bade Hanuman Temple,6828,19,8
Dashashwamedh Ghat (Prayagraj),2375,20,19
Triveni Sangam (Confluence Zone),5672,12,2
Kumbh Mela Ground (Main Venue),13079,22,14
Prayagraj Junction,5093,41,18
Prayagraj Junction,5257,39,7
Kumbh Mela Ground (Main Venue),8362,26,20
Prayagraj Junction,5595,28,10
Alopankari Temple Area,500,25,23
Triveni Sangam (Confluence Zone),13350,36,13
Shri Bade Hanuman Temple,5289,28,20
Saraswati Ghat,1468,38,17
Dashashwamedh Ghat (Prayagraj),1851,15,5
Prayagraj Junction,2553,13,23
Prayagraj Junction,1086,34,2
Shri Bade Hanuman Temple,7842,32,17
Triveni Sangam (Confluence Zone),8192,10,8
Shri Bade Hanuman Temple,6401,33,23
Saraswati Ghat,3656,24,21
Saraswati Ghat,2943,20,4
Kumbh Mela Ground (Main Venue),9181,10,10
Shri Bade Hanuman Temple,8160,22,19
Alopankari Temple Area,4128,34,12
Kumbh Mela Ground (Main Venue),10942,14,17
Shri Bade Hanuman Temple,4289,44,17
Shri Bade Hanuman Temple,8762,13,10
Dashashwamedh Ghat (Prayagraj),1324,30,0
Alopankari Temple Area,7597,12,14
Prayagraj Junction,4383,31,15
Triveni Sangam (Confluence Zone),9037,40,10
Prayagraj Junction,7432,15,15
Saraswati Ghat,4520,23,8
Triveni Sangam (Confluence Zone),10360,40,12
Prayagraj Junction,8180,15,14
Saraswati Ghat,4359,20,10
Saraswati Ghat,4700,23,6
Prayagraj Junction,960,17,1
Alopankari Temple Area,3010,35,8
Saraswati Ghat,4260,18,13
Alopankari Temple Area,2969,40,0
Prayagraj Junction,500,33,2
Triveni Sangam (Confluence Zone),9096,28,7
Kumbh Mela Ground (Main Venue),8881,34,22
Saraswati Ghat,2200,12,9
Kumbh Mela Ground (Main Venue),6116,15,8
Triveni Sangam (Confluence Zone),14033,19,16
Kumbh Mela Ground (Main Venue),9893,20,21
Triveni Sangam (Confluence Zone),13487,28,13
Saraswati Ghat,5946,12,17
Prayagraj Junction,5111,19,6
Prayagraj Junction,5863,34,9
Kumbh Mela Ground (Main Venue),9571,14,16
Dashashwamedh Ghat (Prayagraj),749,39,7
Triveni Sangam (Confluence Zone),11751,17,9
Prayagraj Junction,643,34,2
Saraswati Ghat,4765,23,18
Dashashwamedh Ghat (Prayagraj),6588,22,10
Triveni Sangam (Confluence Zone),8864,13,2
Prayagraj Junction,5909,32,21
Shri Bade Hanuman Temple,8730,28,8
Kumbh Mela Ground (Main Venue),5401,39,7
Shri Bade Hanuman Temple,5523,29,5
Shri Bade Hanuman Temple,8951,20,20
Kumbh Mela Ground (Main Venue),9176,42,13
Shri Bade Hanuman Temple,7739,43,13
Dashashwamedh Ghat (Prayagraj),4408,42,16
Dashashwamedh Ghat (Prayagraj),5171,32,12
Kumbh Mela Ground (Main Venue),8674,19,22
Triveni Sangam (Confluence Zone),12656,28,19
Prayagraj Junction,2815,34,19
Saraswati Ghat,6666,45,12
Prayagraj Junction,2485,38,6
Prayagraj Junction,8085,32,15
Saraswati Ghat,3716,32,19
Shri Bade Hanuman Temple,8302,20,21
Alopankari Temple Area,2982,23,2
Prayagraj Junction,3363,12,6
Alopankari Temple Area,2335,41,5
Kumbh Mela Ground (Main Venue),8182,26,16
Dashashwamedh Ghat (Prayagraj),4371,24,18
Alopankari Temple Area,6112,17,17
Alopankari Temple Area,6598,18,15
Kumbh Mela Ground (Main Venue),13293,14,14
Triveni Sangam (Confluence Zone),12797,29,6
Dashashwamedh Ghat (Prayagraj),4373,10,15
Shri Bade Hanuman Temple,9540,16,14
Shri Bade Hanuman Temple,5531,19,2
Saraswati Ghat,500,45,2
Prayagraj Junction,2635,45,0
Alopankari Temple Area,500,31,23
Kumbh Mela Ground (Main Venue),6656,34,5
Prayagraj Junction,1299,12,3
Dashashwamedh Ghat (Prayagraj),4552,32,20
Kumbh Mela Ground (Main Venue),9255,27,1
Triveni Sangam (Confluence Zone),11572,33,0
Shri Bade Hanuman Temple,7058,30,17
Shri Bade Hanuman Temple,4959,38,8
Saraswati Ghat,3478,27,23
Dashashwamedh Ghat (Prayagraj),3241,14,11
Triveni Sangam (Confluence Zone),11899,38,15
Dashashwamedh Ghat (Prayagraj),5964,11,15
Shri Bade Hanuman Temple,5471,17,17
Saraswati Ghat,4659,15,11
Kumbh Mela Ground (Main Venue),6761,30,18
Dashashwamedh Ghat (Prayagraj),1920,37,9
Shri Bade Hanuman Temple,5495,34,11
Saraswati Ghat,637,39,3
Triveni Sangam (Confluence Zone),14401,12,21
Dashashwamedh Ghat (Prayagraj),2871,17,2
Dashashwamedh Ghat (Prayagraj),2590,36,13
Shri Bade Hanuman Temple,3605,23,2
Shri Bade Hanuman Temple,8321,25,12
Saraswati Ghat,3080,31,0
Prayagraj Junction,7182,12,13
Kumbh Mela Ground (Main Venue),8424,24,12
Shri Bade Hanuman Temple,7060,16,21
Saraswati Ghat,2662,19,18
Saraswati Ghat,2472,10,20
Alopankari Temple Area,6390,17,14
Kumbh Mela Ground (Main Venue),7856,42,17
Saraswati Ghat,776,44,5
Prayagraj Junction,2965,18,23
Alopankari Temple Area,6521,15,17
Shri Bade Hanuman Temple,9056,21,18
Prayagraj Junction,4934,41,18
Prayagraj Junction,1474,39,21
Prayagraj Junction,1484,38,4
Triveni Sangam (Confluence Zone),11660,33,5
Shri Bade Hanuman Temple,8362,29,17
Prayagraj Junction,5388,21,9
Alopankari Temple Area,6217,26,18
Dashashwamedh Ghat (Prayagraj),2715,29,2
Triveni Sangam (Confluence Zone),10515,23,12
Kumbh Mela Ground (Main Venue),11065,26,11
Alopankari Temple Area,7520,19,12
Prayagraj Junction,4049,35,6
Kumbh Mela Ground (Main Venue),8830,17,9
Dashashwamedh Ghat (Prayagraj),4349,31,11
Dashashwamedh Ghat (Prayagraj),2855,19,22
Shri Bade Hanuman Temple,3695,45,4
Alopankari Temple Area,6287,19,19
Prayagraj Junction,5436,18,13
Shri Bade Hanuman Temple,5629,31,23
Kumbh Mela Ground (Main Venue),8851,10,12
Shri Bade Hanuman Temple,5183,27,10
Dashashwamedh Ghat (Prayagraj),1933,11,2
Saraswati Ghat,4904,25,20
Dashashwamedh Ghat (Prayagraj),7505,33,13
Dashashwamedh Ghat (Prayagraj),6772,12,14
Triveni Sangam (Confluence Zone),9054,19,0
Alopankari Temple Area,3536,22,4
Prayagraj Junction,1163,39,9
Saraswati Ghat,5538,18,8
Prayagraj Junction,604,10,22
Triveni Sangam (Confluence Zone),5215,45,3
Shri Bade Hanuman Temple,7680,30,8
Alopankari Temple Area,3069,24,19
Kumbh Mela Ground (Main Venue),8438,31,21
Triveni Sangam (Confluence Zone),12713,20,21
Prayagraj Junction,3471,31,0
Dashashwamedh Ghat (Prayagraj),500,36,4
Triveni Sangam (Confluence Zone),9727,14,10
Dashashwamedh Ghat (Prayagraj),500,26,0
Alopankari Temple Area,1237,40,5
Shri Bade Hanuman Temple,5220,26,2
Kumbh Mela Ground (Main Venue),7958,32,20
Alopankari Temple Area,6430,22,15
Alopankari Temple Area,6675,30,13
Dashashwamedh Ghat (Prayagraj),6554,20,6
Triveni Sangam (Confluence Zone),13222,45,8
Prayagraj Junction,1726,43,21
Shri Bade Hanuman Temple,5452,41,17
Alopankari Temple Area,3276,16,11
Kumbh Mela Ground (Main Venue),5513,33,23
Shri Bade Hanuman Temple,4321,15,2
Saraswati Ghat,3921,37,9
Prayagraj Junction,3314,40,20
Kumbh Mela Ground (Main Venue),11067,25,18
Saraswati Ghat,1293,12,5
Prayagraj Junction,2129,21,23
Alopankari Temple Area,3624,13,4
Prayagraj Junction,3750,11,20
Alopankari Temple Area,799,16,0
Alopankari Temple Area,6058,17,21
Alopankari Temple Area,6368,28,14
Dashashwamedh Ghat (Prayagraj),6662,38,13
Alopankari Temple Area,500,25,4
Prayagraj Junction,500,45,22
Shri Bade Hanuman Temple,3054,43,5
Triveni Sangam (Confluence Zone),8455,14,5
Alopankari Temple Area,1245,31,23
Alopankari Temple Area,4509,35,17
Alopankari Temple Area,4266,38,6
Dashashwamedh Ghat (Prayagraj),4316,38,14
Alopankari Temple Area,2575,44,14
Prayagraj Junction,4826,12,9
Shri Bade Hanuman Temple,5675,39,14
Triveni Sangam (Confluence Zone),5585,11,1
Shri Bade Hanuman Temple,9434,30,10
Prayagraj Junction,3904,38,16
Saraswati Ghat,7412,44,15
Alopankari Temple Area,6240,43,15
Triveni Sangam (Confluence Zone),11244,12,10
Dashashwamedh Ghat (Prayagraj),2999,13,21
Prayagraj Junction,3540,21,6
Shri Bade Hanuman Temple,11345,27,15
Shri Bade Hanuman Temple,4629,43,18
Alopankari Temple Area,6627,15,15
Prayagraj Junction,3774,22,6
Alopankari Temple Area,8397,10,13
Triveni Sangam (Confluence Zone),6626,17,1
Prayagraj Junction,5898,34,18
Triveni Sangam (Confluence Zone),14772,24,10
Triveni Sangam (Confluence Zone),11215,44,6
Prayagraj Junction,500,41,2
Dashashwamedh Ghat (Prayagraj),3920,27,2
Alopankari Temple Area,8631,31,12
Prayagraj Junction,858,10,0
Alopankari Temple Area,6727,21,17
Prayagraj Junction,538,45,23
Triveni Sangam (Confluence Zone),14092,36,16
Triveni Sangam (Confluence Zone),9410,36,13
Kumbh Mela Ground (Main Venue),5276,37,10
Triveni Sangam (Confluence Zone),7891,41,7
Kumbh Mela Ground (Main Venue),9052,37,19
Alopankari Temple Area,5490,14,14
Saraswati Ghat,2009,19,18
Triveni Sangam (Confluence Zone),12307,35,17
Saraswati Ghat,5475,23,16
Prayagraj Junction,4430,29,14
Shri Bade Hanuman Temple,9484,45,12
Shri Bade Hanuman Temple,3551,13,22
Dashashwamedh Ghat (Prayagraj),3971,34,11
Shri Bade Hanuman Temple,5804,30,11
Shri Bade Hanuman Temple,3513,10,22
Saraswati Ghat,5864,26,14
Saraswati Ghat,2198,35,11
Prayagraj Junction,4744,40,17
Triveni Sangam (Confluence Zone),8841,36,2
Alopankari Temple Area,7567,18,13
Alopankari Temple Area,500,33,5
Shri Bade Hanuman Temple,5794,36,4
Dashashwamedh Ghat (Prayagraj),2268,33,8
Triveni Sangam (Confluence Zone),8366,14,9
Kumbh Mela Ground (Main Venue),7013,24,1
Kumbh Mela Ground (Main Venue),8979,19,13
Triveni Sangam (Confluence Zone),13635,40,16
Shri Bade Hanuman Temple,7381,22,7
Triveni Sangam (Confluence Zone),15320,36,12
Dashashwamedh Ghat (Prayagraj),4603,35,9
Alopankari Temple Area,500,28,2
Triveni Sangam (Confluence Zone),9266,35,22
Prayagraj Junction,8655,19,13
Triveni Sangam (Confluence Zone),11070,12,23
Prayagraj Junction,3575,35,6
Dashashwamedh Ghat (Prayagraj),5361,39,11
Dashashwamedh Ghat (Prayagraj),2536,42,2
Dashashwamedh Ghat (Prayagraj),1604,26,1
Saraswati Ghat,500,36,2
Triveni Sangam (Confluence Zone),8334,44,6
Shri Bade Hanuman Temple,4347,17,4
Alopankari Temple Area,500,32,4
Shri Bade Hanuman Temple,6074,18,1
Shri Bade Hanuman Temple,9335,37,13
Saraswati Ghat,6397,26,9
Dashashwamedh Ghat (Prayagraj),2965,29,5
Saraswati Ghat,3934,14,18
Prayagraj Junction,6346,16,21
Kumbh Mela Ground (Main Venue),5058,40,9
Dashashwamedh Ghat (Prayagraj),5623,19,10
Prayagraj Junction,4278,45,14
Alopankari Temple Area,5232,45,6
Saraswati Ghat,1865,44,10
Shri Bade Hanuman Temple,9500,37,13
Prayagraj Junction,500,21,23
Shri Bade Hanuman Temple,5288,16,2
Triveni Sangam (Confluence Zone),8300,26,20
Saraswati Ghat,4725,39,11
Saraswati Ghat,6288,33,12
Triveni Sangam (Confluence Zone),7203,37,20
Saraswati Ghat,4351,14,10
Shri Bade Hanuman Temple,7072,19,1
Saraswati Ghat,798,36,3
Dashashwamedh Ghat (Prayagraj),1969,41,19
Prayagraj Junction,2417,31,5
Prayagraj Junction,1326,40,3
Shri Bade Hanuman Temple,8958,22,12
Triveni Sangam (Confluence Zone),8831,32,21
Kumbh Mela Ground (Main Venue),7169,14,9
Kumbh Mela Ground (Main Venue),8879,35,22
Shri Bade Hanuman Temple,3797,17,5
Triveni Sangam (Confluence Zone),12490,28,16
Dashashwamedh Ghat (Prayagraj),863,34,22
Prayagraj Junction,7333,40,16
Kumbh Mela Ground (Main Venue),6187,33,7
Dashashwamedh Ghat (Prayagraj),4126,11,23
Shri Bade Hanuman Temple,9822,32,8
Kumbh Mela Ground (Main Venue),6645,41,22
Shri Bade Hanuman Temple,7805,23,14
Shri Bade Hanuman Temple,7075,39,13
Dashashwamedh Ghat (Prayagraj),666,34,4
Saraswati Ghat,5976,37,15
Dashashwamedh Ghat (Prayagraj),4676,41,10
Triveni Sangam (Confluence Zone),7471,28,22
Shri Bade Hanuman Temple,6630,15,9
Kumbh Mela Ground (Main Venue),8842,22,17
Prayagraj Junction,4383,20,18
Triveni Sangam (Confluence Zone),10693,10,15
Saraswati Ghat,1788,13,3
Kumbh Mela Ground (Main Venue),6406,44,1
Dashashwamedh Ghat (Prayagraj),2516,40,1
Triveni Sangam (Confluence Zone),12269,43,13
Triveni Sangam (Confluence Zone),8546,42,19
Prayagraj Junction,2499,33,5
Alopankari Temple Area,4606,29,19
Kumbh Mela Ground (Main Venue),10301,25,10
Kumbh Mela Ground (Main Venue),11046,43,14
Saraswati Ghat,500,45,5
Triveni Sangam (Confluence Zone),11366,15,22
Alopankari Temple Area,4845,38,10
Saraswati Ghat,2758,33,22
Triveni Sangam (Confluence Zone),7159,42,20
Alopankari Temple Area,5144,11,16
Prayagraj Junction,2061,40,9
Saraswati Ghat,5344,19,11
Triveni Sangam (Confluence Zone),6979,38,5
Prayagraj Junction,4226,17,21
Alopankari Temple Area,5492,42,19
Prayagraj Junction,2126,11,8
Shri Bade Hanuman Temple,3104,15,0
Dashashwamedh Ghat (Prayagraj),5554,16,13
Saraswati Ghat,3661,42,17
Dashashwamedh Ghat (Prayagraj),5307,14,13
Shri Bade Hanuman Temple,8311,35,18
Alopankari Temple Area,4249,19,22
Prayagraj Junction,8514,23,14
Shri Bade Hanuman Temple,9921,41,15
Alopankari Temple Area,3071,40,14
Kumbh Mela Ground (Main Venue),10126,36,8
Shri Bade Hanuman Temple,11018,29,16
Prayagraj Junction,5077,16,6
Alopankari Temple Area,6034,28,6
Prayagraj Junction,2292,25,9
Saraswati Ghat,3338,27,18
Shri Bade Hanuman Temple,11170,18,13
Dashashwamedh Ghat (Prayagraj),2698,13,6
Saraswati Ghat,586,42,1
Alopankari Temple Area,4486,17,1
Dashashwamedh Ghat (Prayagraj),900,38,19
Kumbh Mela Ground (Main Venue),12780,11,14
Triveni Sangam (Confluence Zone),11072,24,20
Alopankari Temple Area,3279,42,7
Saraswati Ghat,5485,29,9
